cour	CE2	NOM
courage	CE1	NOM
courageusement	CE2	ADV
courageux	CM1	ADJ
courant	CM1	NOM/ADJ
courber	CM1	VER
coureur	CE2	NOM
courir	CE2	VER
couronne	CM1	NOM
cours	CM2	NOM
course	CE2	NOM
court	CM1	NOM/ADJ/ADV
cousin	CE2	NOM/ADJ
coussin	CM1	NOM
couteau	CM1	NOM
coutume	CE2	NOM
couture	CM2	NOM
couvent	CM1	NOM
couver	CM1	VER
couvercle	CM1	NOM
couvert	CM1	NOM/ADJ
couverture	CE1	NOM
couvrir	CE2	VER
craindre	CM1	VER
crainte	CM1	NOM
craquement	CM1	NOM
craquer	CM2	VER
crayon	CM1	NOM
créateur	CM1	NOM
créature	CE1	NOM
crépuscule	CE2	NOM
creuser	CM2	VER
creux	CM1	NOM/ADJ/ADV
crever	CM2	VER
cri	CM1	NOM
crier	CE1	VER
crime	CE1	NOM
crise	CE2	NOM
cristal	CE2	NOM
croire	CE2	VER
croix	CP	NOM
cuir	CM1	NOM
cuire	CE2	VER
cuisine	CE2	NOM
cuisinière	CM1	NOM
cuivre	CE1	NOM
culotte	CM1	NOM
cultivateur	CE2	NOM
cultiver	CM1	VER
culture	CP	NOM
curé	CE2	NOM
curieux	CM1	NOM/ADJ
curiosité	CM2	NOM
d	Outil	PRE/DET
dame	CE2	NOM
danger	CE2	NOM
dangereux	CE2	ADJ
dans	CE1	PRE
danse	CM1	NOM
danser	CM1	VER
date	CE2	NOM
de	Outil	PRE/DET
débarquer	CM2	VER
débiter	CM1	VER
déborder	CM1	VER
déboucher	CM2	VER
debout	CM1	ADV/ADJ
début	CE2	NOM
décéder	CM2	VER
décembre	CE1	NOM
décharger	CM2	VER
déchirer	CM1	VER
décider	CM1	VER
déclarer	CM1	VER
décorer	CM1	VER
découper	CM2	VER
décourager	CM1	VER
découverte	CE1	NOM
découvrir	CE1	VER
décrire	CM2	VER
dedans	CE2	ADV/NOM
défaire	CM1	VER
défaut	CM1	NOM
défendre	CM1	VER
défense	CM1	NOM
défenseur	CM1	NOM
dégager	CM2	VER
degré	CM1	NOM
dehors	CM2	ADV/NOM
déjà	CM2	ADV
déjeuner	CM1	NOM/VER
délicat	CM1	ADJ
délice	CM1	NOM
délicieux	CM1	ADJ
délivrer	CM1	VER
demain	CE1	ADV/NOM
demande	CE2	NOM
demander	CM1	VER
démarche	CE2	NOM
déménager	CM2	VER
demeure	CM1	NOM
demeurer	CM2	VER
demi	CE2	NOM/ADJ
demoiselle	CE2	NOM
démolir	CM1	VER
dent	CE1	NOM
dentelle	CM1	NOM
dénudé	CM1	ADJ
départ	CM2	NOM
dépendre	CE2	VER
dépenser	CE2	VER
déplacer	CM1	VER
déplaire	CE2	VER
déposer	CM1	VER
depuis	CE2	PRE
déranger	CM1	VER
dernier	CE1	NOM/ADJ
dernièrement	CM1	ADV
dérober	CM1	VER
des	Outil	DET
dès	CM1	PRE
désagréable	CE2	ADJ
désastre	CM2	NOM
descendre	CM1	VER
description	CM2	NOM
désigner	CE2	VER
désir	CM1	NOM
désirer	CM2	VER
désireux	CE2	ADJ
désobéir	CM1	VER
désolation	CM1	NOM
désoler	CM1	VER
désordre	CE2	NOM
dessert	CM1	NOM
dessin	CE1	NOM
dessiner	CM1	VER
dessous	CM1	ADV/NOM
dessus	CM2	ADV/NOM
destination	CE2	NOM
destinée	CM1	NOM
destiner	CM2	VER
détacher	CM1	VER
détail	CM1	NOM
déterminer	CM1	VER
détester	CE2	VER
détour	CM1	NOM
détourner	CM1	VER
détruire	CE2	VER
dette	CE2	NOM
deuil	CM1	NOM
deux	CP	DET
deuxième	CM1	ADJ/NOM
devant	CE2	NOM/PRE/ADV
devenir	CP	VER
deviner	CM1	VER
devoir	CP	VER/NOM
dévorer	CM1	VER
dévouement	CE2	NOM
