imprévue;CM2;ADJ
imprévues;CM2;ADJ
indigne;CE2;ADJ
indignes;CE2;ADJ
indispensable;CM1;ADJ
indispensables;CM1;ADJ
inerte;CM1;ADJ
inertes;CM1;ADJ
inférieur;CE2;ADJ
inférieure;CE2;ADJ
inférieures;CE2;ADJ
inférieurs;CE2;ADJ
infinie;CM1;ADJ
infinies;CM1;ADJ
instructif;CM1;ADJ
instructifs;CM1;ADJ
instructive;CM1;ADJ
instructives;CM1;ADJ
intelligent;CM1;ADJ
intelligente;CM1;ADJ
intelligentes;CM1;ADJ
intelligents;CM1;ADJ
invisible;CE1;ADJ
invisibles;CE1;ADJ
ivre;CE2;ADJ
ivres;CE2;ADJ
jaune;CE1;ADJ
jaunes;CE1;ADJ
jeune;CE2;ADJ
jeunes;CE2;ADJ
joli;CE1;ADJ
jolie;CE1;ADJ
jolies;CE1;ADJ
jolis;CE1;ADJ
journalière;CE2;ADJ
journalières;CE2;ADJ
joyeuse;CE2;ADJ
joyeuses;CE2;ADJ
joyeux;CE2;ADJ
justes;CE1;ADJ
laborieuse;CM2;ADJ
laborieuses;CM2;ADJ
laborieux;CM2;ADJ
laid;CM2;ADJ
laide;CM2;ADJ
laides;CM2;ADJ
laids;CM2;ADJ
lamentable;CM1;ADJ
lamentables;CM1;ADJ
las;CM1;ADJ
lasse;CM1;ADJ
lasses;CM1;ADJ
léger;CM1;ADJ
légère;CM1;ADJ
légères;CM1;ADJ
légers;CM1;ADJ
lent;CM1;ADJ
lente;CM1;ADJ
lentes;CM1;ADJ
lents;CM1;ADJ
libre;CP;ADJ
libres;CP;ADJ
limpide;CM2;ADJ
limpides;CM2;ADJ
lisse;CE2;ADJ
lisses;CE2;ADJ
lointaine;CM2;ADJ
lointaines;CM2;ADJ
longue;CE2;ADJ
longues;CE2;ADJ
lourd;CE2;ADJ
lourde;CE2;ADJ
lourdes;CE2;ADJ
lourds;CE2;ADJ
loyal;CM2;ADJ
loyale;CM2;ADJ
loyales;CM2;ADJ
loyaux;CM2;ADJ
